Implementation;Method;listSize;Score;Score Error;Allocation Rate
CAPSULE_TRIE_MAP;putAndGetRandom;20;88,617;0,47;196,4
CAPSULE_TRIE_MAP;putAndGetRandom;25;84,605;0,302;209,92
CAPSULE_TRIE_MAP;putAndGetRandom;50;99,181;0,552;240,8
CAPSULE_TRIE_MAP;putAndGetRandom;100;106,456;0,327;303,76
CAPSULE_TRIE_MAP;putAndGetRandom;1000;164,91;2,528;396,704
CAPSULE_TRIE_MAP;putAndGetRandom;10000;229,687;1,086;509,536
CAPSULE_TRIE_MAP;putAndGetRandom;100000;379,184;4,833;641,7
CAPSULE_TRIE_MAP;putAndGetRandom;1000000;625,976;41,04;747,727
CAPSULE_TRIE_MAP;putCollision;1;46,1;2,008;80
CAPSULE_TRIE_MAP;putCollision;4;129,267;0,363;318
CAPSULE_TRIE_MAP;putCollision;10;123,566;0,621;326,4
CAPSULE_TRIE_MAP;putCollision;15;124,549;0,698;349,867
CAPSULE_TRIE_MAP;putCollision;20;151,849;0,427;400
CAPSULE_TRIE_MAP;putCollision;25;131,038;0,518;382,08
CAPSULE_TRIE_MAP;putCollision;50;139,787;0,587;422,24
CAPSULE_TRIE_MAP;putCollision;100;151,355;0,653;465,52
CAPSULE_TRIE_MAP;putCollision;1000;189,957;0,89;534,576
CAPSULE_TRIE_MAP;putCollision;10000;260,58;0,809;637,52
CAPSULE_TRIE_MAP;putCollision;100000;379,879;7,61;751,82
CAPSULE_TRIE_MAP;putCollision;1000000;631,578;70,335;820,853
CAPSULE_TRIE_MAP;putDistinct;1;43,853;0,342;80
CAPSULE_TRIE_MAP;putDistinct;4;45,243;0,169;92
CAPSULE_TRIE_MAP;putDistinct;10;48,166;0,079;116
CAPSULE_TRIE_MAP;putDistinct;15;46,472;0,115;136
CAPSULE_TRIE_MAP;putDistinct;20;48,908;0,127;156
CAPSULE_TRIE_MAP;putDistinct;25;47,92;0,245;176
CAPSULE_TRIE_MAP;putDistinct;50;62,63;0,349;258,72
CAPSULE_TRIE_MAP;putDistinct;100;75,938;0,37;292,48
CAPSULE_TRIE_MAP;putDistinct;1000;84,143;0,482;401,408
CAPSULE_TRIE_MAP;putDistinct;10000;120,327;0,803;492,403
CAPSULE_TRIE_MAP;putDistinct;100000;206,988;1,762;644,331
CAPSULE_TRIE_MAP;putDistinct;1000000;315,789;3,151;750,509
CAPSULE_TRIE_MAP;putRandom;1;44,912;0,754;80
CAPSULE_TRIE_MAP;putRandom;4;44,865;0,181;92
CAPSULE_TRIE_MAP;putRandom;10;64,897;0,227;151,2
CAPSULE_TRIE_MAP;putRandom;15;54,073;0,286;133,333
CAPSULE_TRIE_MAP;putRandom;20;55,666;0,206;154,8
CAPSULE_TRIE_MAP;putRandom;25;67,525;0,249;183,68
CAPSULE_TRIE_MAP;putRandom;50;73,543;0,459;248
CAPSULE_TRIE_MAP;putRandom;100;78,985;0,471;280,8
CAPSULE_TRIE_MAP;putRandom;1000;125,925;2,423;380,32
CAPSULE_TRIE_MAP;putRandom;10000;175,31;0,522;493,79
CAPSULE_TRIE_MAP;putRandom;100000;250,273;2,029;625,914
CAPSULE_TRIE_MAP;putRandom;1000000;419,203;7,753;731,784
CAPSULE_TRIE_MAP;removeCollision;1;52,506;0,136;72
CAPSULE_TRIE_MAP;removeCollision;4;123,248;1,11;204
CAPSULE_TRIE_MAP;removeCollision;10;149,76;0,716;250,4
CAPSULE_TRIE_MAP;removeCollision;15;150,01;0,593;250,667
CAPSULE_TRIE_MAP;removeCollision;20;164,208;0,867;308,8
CAPSULE_TRIE_MAP;removeCollision;25;155,221;0,769;291,84
CAPSULE_TRIE_MAP;removeCollision;50;155,742;0,531;331,04
CAPSULE_TRIE_MAP;removeCollision;100;171,423;0,695;364,96
CAPSULE_TRIE_MAP;removeCollision;1000;221,888;1,118;440,392
CAPSULE_TRIE_MAP;removeCollision;10000;277,568;1,59;559,169
CAPSULE_TRIE_MAP;removeCollision;100000;470,651;6,127;682,929
CAPSULE_TRIE_MAP;removeCollision;1000000;577,941;18,743;760,805
CAPSULE_TRIE_MAP;removeDistinct;1;52,472;0,212;72
CAPSULE_TRIE_MAP;removeDistinct;4;41,748;0,109;84
CAPSULE_TRIE_MAP;removeDistinct;10;43,241;0,193;108
CAPSULE_TRIE_MAP;removeDistinct;15;44,969;0,319;128
CAPSULE_TRIE_MAP;removeDistinct;20;45,893;0,257;148
CAPSULE_TRIE_MAP;removeDistinct;25;45,92;0,182;168
CAPSULE_TRIE_MAP;removeDistinct;50;69,944;0,37;276,16
CAPSULE_TRIE_MAP;removeDistinct;100;79,126;0,518;285,76
CAPSULE_TRIE_MAP;removeDistinct;1000;92,132;0,632;393,536
CAPSULE_TRIE_MAP;removeDistinct;10000;129,653;9,377;484,826
CAPSULE_TRIE_MAP;removeDistinct;100000;181,789;1,625;637,683
CAPSULE_TRIE_MAP;removeDistinct;1000000;335,254;3,013;742,645
CAPSULE_TRIE_MAP;removeNonExisting;1;11,163;0,059;0
CAPSULE_TRIE_MAP;removeNonExisting;4;5,438;0,176;0
CAPSULE_TRIE_MAP;removeNonExisting;10;3,835;0,016;0
CAPSULE_TRIE_MAP;removeNonExisting;15;3,307;0,012;0
CAPSULE_TRIE_MAP;removeNonExisting;20;13,679;0,086;24
CAPSULE_TRIE_MAP;removeNonExisting;25;11,39;0,051;24
CAPSULE_TRIE_MAP;removeNonExisting;50;12,149;0,065;24
CAPSULE_TRIE_MAP;removeNonExisting;100;17,001;0,058;24
CAPSULE_TRIE_MAP;removeNonExisting;1000;23,37;0,109;24
CAPSULE_TRIE_MAP;removeNonExisting;10000;40,015;0,68;24
CAPSULE_TRIE_MAP;removeNonExisting;100000;60,811;5,963;24
CAPSULE_TRIE_MAP;removeNonExisting;1000000;156,759;48,018;24
CAPSULE_TRIE_MAP;removeRandom;1;54,456;0,187;72
CAPSULE_TRIE_MAP;removeRandom;4;42,139;0,479;84
CAPSULE_TRIE_MAP;removeRandom;10;51,085;0,241;136
CAPSULE_TRIE_MAP;removeRandom;15;53,331;0,16;154,133
CAPSULE_TRIE_MAP;removeRandom;20;61,043;0,188;168,4
CAPSULE_TRIE_MAP;removeRandom;25;68,031;0,403;181,76
CAPSULE_TRIE_MAP;removeRandom;50;75,875;1,286;225,12
CAPSULE_TRIE_MAP;removeRandom;100;81,464;0,434;278,56
CAPSULE_TRIE_MAP;removeRandom;1000;128,008;1,167;373,072
CAPSULE_TRIE_MAP;removeRandom;10000;181,592;0,715;487,07
CAPSULE_TRIE_MAP;removeRandom;100000;255,144;3,029;618,523
CAPSULE_TRIE_MAP;removeRandom;1000000;449,704;12,056;724,287
